cluster,retained_id,original_id,spawner_group,sex,year,hatchery,NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,Genetic_Sex,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,CollectionYear,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,NMFS_DNA_ID_1,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,SNPPIT.Descriptor,STRAIN,LATITUDE_F,LONGITUDE_F,LOCATION_COMMENTS_F,NMFS_ID_VLOOKUP
208,M053148,M053148,1/4/11,Female,2011,NH,M053148,M539,1A,M110001NIM,3725,NA,Oncorhynchus,mykiss,726,NA,Female,Female,NA,NA,NA,AD,NA,1/4/11,2011,NA,DSW,2/1/12,NA,Re-sent from right hatchery.,M053148,California,San Francisco,Sacramento River,NA,NA,American River,NA,Nimbus Hatchery,NH,NA,NA,NA,NA,M053148
208,M053148,M053323,1/5/12,Female,2012,CH,M053323,M540,10H,M120048COL,3898,NA,Oncorhynchus,mykiss,515,NA,Female,Female,NA,NA,NA,AD,NA,1/5/12,2012,NA,DSW,2/1/12,NA,NA,M053323,California,San Francisco,Sacramento River,NA,NA,Battle Creek,NA,Coleman Hatchery,CH,NA,NA,NA,NA,M053323
210,M053196,M053196,1/11/11,Male,2011,NH,M053196,M539,7A,M110049NIM,3725,NA,Oncorhynchus,mykiss,715,NA,Male,Male,NA,NA,NA,AD,NA,1/11/11,2011,NA,DSW,2/1/12,NA,Re-sent from right hatchery.,M053196,California,San Francisco,Sacramento River,NA,NA,American River,NA,Nimbus Hatchery,NH,NA,NA,NA,NA,M053196
210,M053196,M053331,1/5/12,Male,2012,CH,M053331,M540,11H,M120056COL,3898,NA,Oncorhynchus,mykiss,500,NA,Male,Male,NA,NA,NA,AD,NA,1/5/12,2012,NA,DSW,2/1/12,NA,NA,M053331,California,San Francisco,Sacramento River,NA,NA,Battle Creek,NA,Coleman Hatchery,CH,NA,NA,NA,NA,M053331
211,M053244,M053244,1/11/11,Male,2011,NH,M053244,M540,1A,M110098NIM,3725,NA,Oncorhynchus,mykiss,695,NA,Male,Male,NA,NA,NA,AD,NA,1/11/11,2011,NA,DSW,2/1/12,NA,Re-sent from right hatchery.,M053244,California,San Francisco,Sacramento River,NA,NA,American River,NA,Nimbus Hatchery,NH,NA,NA,NA,NA,M053244
211,M053244,M053339,1/12/12,Male,2012,CH,M053339,M540,12H,M120064COL,3898,NA,Oncorhynchus,mykiss,430,NA,Male,Male,NA,NA,NA,AD,NA,1/12/12,2012,NA,DSW,2/1/12,NA,NA,M053339,California,San Francisco,Sacramento River,NA,NA,Battle Creek,NA,Coleman Hatchery,CH,NA,NA,NA,NA,M053339
1494,M098336,M098336,?,Male,2017,FRH,M098336,M1001,11E,M170376FRH,4901,NA,Oncorhynchus,mykiss,417,NA,Male,Male,NA,ADULT,NA,AD,NA,NA,2017,NA,LC,1/25/17,None,INCOMING TUB #10; CAUDAL TAG BLACK #2Spawned with M170360FRH & M170361FRH,M098336,California,San Francisco,Sacramento River,NA,NA,Feather River,NA,Feather River Hatchery,FRH,NA,NA,NA,NA,M098336_M1001_11E
1494,M098336,M098834,1/31/17,Male,2017,NH,M098834,M1007,1G,M170292NIM,4902,NA,Oncorhynchus,mykiss,405,NA,Male,Male,NA,ADULT,NA,AD,NA,1/31/17,2017,NA,LC,2/8/17,NA,NA,M098834,California,San Francisco,Sacramento River,NA,NA,American River,NA,Nimbus Hatchery,NH,NA,NA,NA,NA,M098834_M1007_1G
1681,M104514,M104514,1/17/18,Male,2018,FRH,M104514,M1066,3G,M180655FRH,5070,NA,Oncorhynchus,mykiss,502,NA,Male,Male,NA,ADULT,NA,AD,NA,1/17/18,2018,NA,LC,3/2/18,NA,Spawned with M180677FRH & M180678FRH,M104514,California,San Francisco,Sacramento River,NA,NA,Feather River,NA,Feather River Hatchery,FRH,NA,NA,NA,NA,M104514
1681,M104514,M107170,2/7/18,Male,2018,CH,M107170,M1093,11G,M180789COL,5120,NA,Oncorhynchus,mykiss,500,NA,Male,Male,NA,ADULT,NA,AD,NA,2/7/18,2018,NA,LC,5/11/18,None,NA,M107170,California,San Francisco,Sacramento River,NA,NA,Battle Creek,NA,Coleman Hatchery,CH,NA,NA,NA,NA,M107170
1745,M104991,M104991,12/14/17,Male,2018,MRH,M104991,M1071,3D,M170491MKH,5072,NA,Oncorhynchus,mykiss,495,NA,Male,Male,NA,ADULT,NA,AD,NA,12/14/17,2018,NA,LC,3/8/18,None,NA,M104991,California,San Francisco,Sacramento River,NA,NA,Mokelumne River,NA,Mokelumne River Hatchery,MRH,NA,NA,NA,NA,M104991
1745,M104991,M105496,2/1/18,Male,2018,MRH,M105496,M1076,6E,M180216MKH,5072,NA,Oncorhynchus,mykiss,494,NA,Male,Male,NA,ADULT,NA,AD,NA,2/1/18,2018,NA,LC,3/14/18,None,SPAWNED/SAMPLED PREVIOUSLY THIS SEASON,M105496,California,San Francisco,Sacramento River,NA,NA,Mokelumne River,NA,Mokelumne River Hatchery,MRH,NA,NA,NA,NA,M105496
1745,M104991,M114926,2/5/19,Male,2019,NH,M114926,M1175,8C,M190316NIM,5262,NA,Oncorhynchus,mykiss,635,NA,Male,Male,NA,ADULT,NA,AD,NA,2/5/19,2019,NA,LC,4/1/19,NA,NA,M114926,California,San Francisco,Sacramento River,NA,NA,American River,NA,Nimbus Hatchery,NH,NA,NA,NA,NA,M114926_M1175_8C
